Constrain;Pattern;par_inf;nrmse;color;Res_lvl;Frac;Min;Max;Range;rmse_full;rmse;rmse_range
ECB;SL;ECA;0.96;96;1;0.89;1;100;99;7.265572;6.97494912;0.070454032
ECB;SL;ECA;0.94;94;2;0.78;1;100;99;7.265572;6.82963768;0.068986239
ECB;SL;ECA;0.92;92;3;0.67;1;100;99;7.265572;6.68432624;0.067518447
ECB;SL;ECA;0.91;91;4;0.56;1;100;99;7.265572;6.61167052;0.066784551
ECB;SL;ECA;0.93;93;5;0.44;1;100;99;7.265572;6.75698196;0.068252343
ECB;SL;ECA;0.95;95;6;0.33;1;100;99;7.265572;6.9022934;0.069720135
ECB;SL;ECA;0.96;96;7;0.22;1;100;99;7.265572;6.97494912;0.070454032
ECB;SL;ECA;0.99;99;8;0.11;1;100;99;7.265572;7.19291628;0.07265572
ThickB;SL;ECA;1.02;102;1;0.89;1;100;99;7.265572;7.41088344;0.074857408
ThickB;SL;ECA;1.04;104;2;0.78;1;100;99;7.265572;7.55619488;0.076325201
ThickB;SL;ECA;1.06;106;3;0.67;1;100;99;7.265572;7.70150632;0.077792993
ThickB;SL;ECA;1.07;107;4;0.56;1;100;99;7.265572;7.77416204;0.078526889
ThickB;SL;ECA;1.09;109;5;0.44;1;100;99;7.265572;7.91947348;0.079994682
ThickB;SL;ECA;1.11;111;6;0.33;1;100;99;7.265572;8.06478492;0.081462474
ThickB;SL;ECA;1.08;108;7;0.22;1;100;99;7.265572;7.84681776;0.079260785
ThickB;SL;ECA;1.03;103;8;0.11;1;100;99;7.265572;7.48353916;0.075591305
ECC;SL;ECA;0.97;97;1;0.89;1;100;99;7.265572;7.04760484;0.071187928
ECC;SL;ECA;0.97;97;2;0.78;1;100;99;7.265572;7.04760484;0.071187928
ECC;SL;ECA;0.98;98;3;0.67;1;100;99;7.265572;7.12026056;0.071921824
ECC;SL;ECA;0.99;99;4;0.56;1;100;99;7.265572;7.19291628;0.07265572
ECC;SL;ECA;0.98;98;5;0.44;1;100;99;7.265572;7.12026056;0.071921824
ECC;SL;ECA;0.98;98;6;0.33;1;100;99;7.265572;7.12026056;0.071921824
ECC;SL;ECA;0.97;97;7;0.22;1;100;99;7.265572;7.04760484;0.071187928
ECC;SL;ECA;1.03;103;8;0.11;1;100;99;7.265572;7.48353916;0.075591305
ECA;SL;ThickA;0.99;99;1;0.89;0.05;1.45;1.4;0.28212;0.2792988;0.199499143
ECA;SL;ThickA;0.97;97;2;0.78;0.05;1.45;1.4;0.28212;0.2736564;0.195468857
ECA;SL;ThickA;0.95;95;3;0.67;0.05;1.45;1.4;0.28212;0.268014;0.191438571
ECA;SL;ThickA;0.92;92;4;0.56;0.05;1.45;1.4;0.28212;0.2595504;0.185393143
ECA;SL;ThickA;0.89;89;5;0.44;0.05;1.45;1.4;0.28212;0.2510868;0.179347714
ECA;SL;ThickA;0.86;86;6;0.33;0.05;1.45;1.4;0.28212;0.2426232;0.173302286
ECA;SL;ThickA;0.83;83;7;0.22;0.05;1.45;1.4;0.28212;0.2341596;0.167256857
ECA;SL;ThickA;0.79;79;8;0.11;0.05;1.45;1.4;0.28212;0.2228748;0.159196286
ThickA;SL;ThickA;0.94;94;1;0.89;0.05;1.45;1.4;0.28212;0.2651928;0.189423429
ThickA;SL;ThickA;0.89;89;2;0.78;0.05;1.45;1.4;0.28212;0.2510868;0.179347714
ThickA;SL;ThickA;0.85;85;3;0.67;0.05;1.45;1.4;0.28212;0.239802;0.171287143
ThickA;SL;ThickA;0.76;76;4;0.56;0.05;1.45;1.4;0.28212;0.2144112;0.153150857
ThickA;SL;ThickA;0.66;66;5;0.44;0.05;1.45;1.4;0.28212;0.1861992;0.132999429
ThickA;SL;ThickA;0.54;54;6;0.33;0.05;1.45;1.4;0.28212;0.1523448;0.108817714
ThickA;SL;ThickA;0.4;40;7;0.22;0.05;1.45;1.4;0.28212;0.112848;0.080605714
ThickA;SL;ThickA;0.25;25;8;0.11;0.05;1.45;1.4;0.28212;0.07053;0.050378571
ECB;SL;ThickA;0.97;97;1;0.89;0.05;1.45;1.4;0.28212;0.2736564;0.195468857
ECB;SL;ThickA;0.94;94;2;0.78;0.05;1.45;1.4;0.28212;0.2651928;0.189423429
ECB;SL;ThickA;0.91;91;3;0.67;0.05;1.45;1.4;0.28212;0.2567292;0.183378
ECB;SL;ThickA;0.88;88;4;0.56;0.05;1.45;1.4;0.28212;0.2482656;0.177332571
ECB;SL;ThickA;0.84;84;5;0.44;0.05;1.45;1.4;0.28212;0.2369808;0.169272
ECB;SL;ThickA;0.81;81;6;0.33;0.05;1.45;1.4;0.28212;0.2285172;0.163226571
ECB;SL;ThickA;0.78;78;7;0.22;0.05;1.45;1.4;0.28212;0.2200536;0.157181143
ECB;SL;ThickA;0.76;76;8;0.11;0.05;1.45;1.4;0.28212;0.2144112;0.153150857
ThickB;SL;ThickA;0.99;99;1;0.89;0.05;1.45;1.4;0.28212;0.2792988;0.199499143
ThickB;SL;ThickA;0.98;98;2;0.78;0.05;1.45;1.4;0.28212;0.2764776;0.197484
ThickB;SL;ThickA;0.96;96;3;0.67;0.05;1.45;1.4;0.28212;0.2708352;0.193453714
ThickB;SL;ThickA;0.93;93;4;0.56;0.05;1.45;1.4;0.28212;0.2623716;0.187408286
ThickB;SL;ThickA;0.88;88;5;0.44;0.05;1.45;1.4;0.28212;0.2482656;0.177332571
ThickB;SL;ThickA;0.82;82;6;0.33;0.05;1.45;1.4;0.28212;0.2313384;0.165241714
ThickB;SL;ThickA;0.74;74;7;0.22;0.05;1.45;1.4;0.28212;0.2087688;0.149120571
ThickB;SL;ThickA;0.63;63;8;0.11;0.05;1.45;1.4;0.28212;0.1777356;0.126954
ECC;SL;ThickA;0.99;99;1;0.89;0.05;1.45;1.4;0.28212;0.2792988;0.199499143
ECC;SL;ThickA;0.98;98;2;0.78;0.05;1.45;1.4;0.28212;0.2764776;0.197484
ECC;SL;ThickA;0.98;98;3;0.67;0.05;1.45;1.4;0.28212;0.2764776;0.197484
ECC;SL;ThickA;0.97;97;4;0.56;0.05;1.45;1.4;0.28212;0.2736564;0.195468857
ECC;SL;ThickA;0.95;95;5;0.44;0.05;1.45;1.4;0.28212;0.268014;0.191438571
ECC;SL;ThickA;0.94;94;6;0.33;0.05;1.45;1.4;0.28212;0.2651928;0.189423429
ECC;SL;ThickA;0.93;93;7;0.22;0.05;1.45;1.4;0.28212;0.2623716;0.187408286
ECC;SL;ThickA;0.95;95;8;0.11;0.05;1.45;1.4;0.28212;0.268014;0.191438571
ECA;SL;ECB;0.99;99;1;0.89;1;100;99;18.889109;18.70021791;0.18889109
ECA;SL;ECB;0.97;97;2;0.78;1;100;99;18.889109;18.32243573;0.185075108
ECA;SL;ECB;0.96;96;3;0.67;1;100;99;18.889109;18.13354464;0.183167118
ECA;SL;ECB;0.96;96;4;0.56;1;100;99;18.889109;18.13354464;0.183167118
ECA;SL;ECB;0.97;97;5;0.44;1;100;99;18.889109;18.32243573;0.185075108
ECA;SL;ECB;0.99;99;6;0.33;1;100;99;18.889109;18.70021791;0.18889109
ECA;SL;ECB;1.02;102;7;0.22;1;100;99;18.889109;19.26689118;0.194615062
ECA;SL;ECB;1.05;105;8;0.11;1;100;99;18.889109;19.83356445;0.200339035
ThickA;SL;ECB;0.98;98;1;0.89;1;100;99;18.889109;18.51132682;0.186983099
ThickA;SL;ECB;0.96;96;2;0.78;1;100;99;18.889109;18.13354464;0.183167118
ThickA;SL;ECB;0.92;92;3;0.67;1;100;99;18.889109;17.37798028;0.175535154
ThickA;SL;ECB;0.89;89;4;0.56;1;100;99;18.889109;16.81130701;0.169811182
ThickA;SL;ECB;0.85;85;5;0.44;1;100;99;18.889109;16.05574265;0.162179219
ThickA;SL;ECB;0.79;79;6;0.33;1;100;99;18.889109;14.92239611;0.150731274
ThickA;SL;ECB;0.71;71;7;0.22;1;100;99;18.889109;13.41126739;0.135467347
ThickA;SL;ECB;0.6;60;8;0.11;1;100;99;18.889109;11.3334654;0.114479448
ECB;SL;ECB;0.93;93;1;0.89;1;100;99;18.889109;17.56687137;0.177443145
ECB;SL;ECB;0.86;86;2;0.78;1;100;99;18.889109;16.24463374;0.164087209
ECB;SL;ECB;0.78;78;3;0.67;1;100;99;18.889109;14.73350502;0.148823283
ECB;SL;ECB;0.69;69;4;0.56;1;100;99;18.889109;13.03348521;0.131651366
ECB;SL;ECB;0.6;60;5;0.44;1;100;99;18.889109;11.3334654;0.114479448
ECB;SL;ECB;0.51;51;6;0.33;1;100;99;18.889109;9.63344559;0.097307531
ECB;SL;ECB;0.4;40;7;0.22;1;100;99;18.889109;7.5556436;0.076319632
ECB;SL;ECB;0.26;26;8;0.11;1;100;99;18.889109;4.91116834;0.049607761
ThickB;SL;ECB;1.05;105;1;0.89;1;100;99;18.889109;19.83356445;0.200339035
ThickB;SL;ECB;1.1;110;2;0.78;1;100;99;18.889109;20.7780199;0.209878989
ThickB;SL;ECB;1.14;114;3;0.67;1;100;99;18.889109;21.53358426;0.217510952
ThickB;SL;ECB;1.2;120;4;0.56;1;100;99;18.889109;22.6669308;0.228958897
ThickB;SL;ECB;1.27;127;5;0.44;1;100;99;18.889109;23.98916843;0.242314833
ThickB;SL;ECB;1.33;133;6;0.33;1;100;99;18.889109;25.12251497;0.253762777
